# The tests of significance were performed using a two-sided Student's two-sample t-test.
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in the groups).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within day	All between day	-0.268397443909	0.790015226735	1	0.780	1.000
All within day	21 vs. 21	-0.138590506875	0.892825193161	1	0.956	1.000
All within day	22 vs. 22	-1.39391502671	0.185074843719	1	0.196	1.000
All within day	23 vs. 23	2.0209053335	0.0683099679971	1	0.069	1.000
All within day	21 vs. 22	-0.00765922821162	0.993983566707	1	0.995	1.000
All within day	21 vs. 23	-0.698938414375	0.496038753419	1	0.486	1.000
All within day	22 vs. 23	-0.120048109769	0.90564280922	1	0.909	1.000
All between day	21 vs. 21	-0.248580353351	0.805716110291	1	0.736	1.000
All between day	22 vs. 22	-1.30850879468	0.200637293033	1	0.203	1.000
All between day	23 vs. 23	2.33604527719	0.027162282308	0.760543904625	0.018	0.504
All between day	21 vs. 22	0.234730578126	0.815913382235	1	0.816	1.000
All between day	21 vs. 23	-0.515046546922	0.610294910251	1	0.624	1.000
All between day	22 vs. 23	0.119142392366	0.905824923809	1	0.911	1.000
21 vs. 21	22 vs. 22	-1.18273416013	0.290085341449	1	0.255	1.000
21 vs. 21	23 vs. 23	2.6614365714	0.11692901566	1	0.247	1.000
21 vs. 21	21 vs. 22	-0.132835949378	0.898061065603	1	0.921	1.000
21 vs. 21	21 vs. 23	-0.959068013226	0.381570966863	1	0.499	1.000
21 vs. 21	22 vs. 23	-0.172384299282	0.866266141017	1	0.846	1.000
22 vs. 22	23 vs. 23	4.77987976967	0.00201255850678	0.0563516381898	0.010	0.280
22 vs. 22	21 vs. 22	1.2981704677	0.218625010366	1	0.214	1.000
22 vs. 22	21 vs. 23	1.07925112225	0.305818714123	1	0.310	1.000
22 vs. 22	22 vs. 23	1.1754999319	0.256991112056	1	0.261	1.000
23 vs. 23	21 vs. 22	-1.90680254459	0.0889153767593	1	0.075	1.000
23 vs. 23	21 vs. 23	-5.23551056218	0.00120515837212	0.0337444344194	0.007	0.196
23 vs. 23	22 vs. 23	-1.90744153918	0.0787998104002	1	0.080	1.000
21 vs. 22	21 vs. 23	-0.650371585064	0.527708039698	1	0.612	1.000
21 vs. 22	22 vs. 23	-0.1022165117	0.919714931079	1	0.921	1.000
21 vs. 23	22 vs. 23	0.521798582464	0.608958947114	1	0.614	1.000
