# The tests of significance were performed using a two-sided Student's two-sample t-test.
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in the groups).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within day	All between day	-0.0905266984909	0.928399901031	1	0.929	1.000
All within day	21 vs. 21	-0.191866127922	0.852106150085	1	0.852	1.000
All within day	22 vs. 22	-1.10716215411	0.286884635354	1	0.281	1.000
All within day	23 vs. 23	1.91333308054	0.0820756462931	1	0.091	1.000
All within day	21 vs. 22	-0.179291086901	0.859959957649	1	0.849	1.000
All within day	21 vs. 23	-0.12515432538	0.902180771594	1	0.879	1.000
All within day	22 vs. 23	0.0439396494183	0.965388253708	1	0.956	1.000
All between day	21 vs. 21	-0.219132805571	0.828325822949	1	0.869	1.000
All between day	22 vs. 22	-1.43579112668	0.161407578671	1	0.169	1.000
All between day	23 vs. 23	2.57015902437	0.0160007010922	0.448019630583	0.017	0.476
All between day	21 vs. 22	-0.160160006884	0.87376177529	1	0.879	1.000
All between day	21 vs. 23	-0.0760852835347	0.939856391109	1	0.933	1.000
All between day	22 vs. 23	0.161037342037	0.872964321304	1	0.863	1.000
21 vs. 21	22 vs. 22	-0.380599141506	0.719134098439	1	1.000	1.000
21 vs. 21	23 vs. 23	16.062049742	0.00385373567655	0.107904598943	0.263	1.000
21 vs. 21	21 vs. 22	0.136514067804	0.895258142248	1	0.994	1.000
21 vs. 21	21 vs. 23	0.478282259762	0.65262974577	1	0.983	1.000
21 vs. 21	22 vs. 23	0.225872040001	0.825442868782	1	0.896	1.000
22 vs. 22	23 vs. 23	3.43483444821	0.0109133820094	0.305574696263	0.020	0.560
22 vs. 22	21 vs. 22	1.01883143061	0.328384868767	1	0.316	1.000
22 vs. 22	21 vs. 23	1.36994317951	0.200676059587	1	0.196	1.000
22 vs. 22	22 vs. 23	1.23515633732	0.23460311741	1	0.263	1.000
23 vs. 23	21 vs. 22	-2.42508091203	0.0382902323643	1	0.034	0.952
23 vs. 23	21 vs. 23	-6.8696724611	0.000237730756867	0.00665646119229	0.013	0.364
23 vs. 23	22 vs. 23	-2.0236668336	0.0640622879366	1	0.073	1.000
21 vs. 22	21 vs. 23	0.0731890547373	0.942861482758	1	0.927	1.000
21 vs. 22	22 vs. 23	0.237877285811	0.814663003693	1	0.814	1.000
21 vs. 23	22 vs. 23	0.180029590571	0.859389699304	1	0.855	1.000
