pc vector number	1	2	3	4	5	6	7	8	9
f2	-0.14256829945	0.217984779	0.0303476244478	-0.0144388953154	-0.023095391083	-0.0166337139781	0.0173199007641	-3.86743782133e-09	2.59548581964e-10
f1	-0.14485297927	0.173926575725	0.0744501274649	0.0103231860421	0.00428416983447	0.0186334208655	0.000782894899449	-2.83300083864e-09	4.62621961771e-09
f3	-0.14485297927	0.173926575725	0.0744501274649	0.0103231860421	0.00428416983447	0.0186334208655	0.000782894899449	-4.90187480402e-09	-4.10712245378e-09
f4	-0.138820414949	0.232766454177	0.0409863514104	-0.0436799507202	0.0069315289848	-0.0165801738906	-0.0185259702761	-3.86743782133e-09	2.59548581964e-10
p2	-0.124485439969	-0.0864018688578	-0.0782222403361	0.135404476945	0.0130013833904	-0.00935533713455	-0.00100683514798	-3.86743782133e-09	2.59548581964e-10
p1	-0.0942047572848	-0.0466498822385	-0.300849281144	-0.0580878025148	0.00592951079749	0.00592757477893	0.00186637195595	-3.86743782133e-09	2.59548581964e-10
t1	-0.0170412317884	-0.390296999399	0.129554270433	-0.0480649265995	0.0304201439269	-0.00525862886329	0.00659154202068	-3.86743782133e-09	2.59548581964e-10
not16S.1	0.848441081216	0.0904681281244	-0.00344651304239	0.00648863534564	-0.000147710371054	0.000249552244966	-4.26245196414e-05	-3.86743782133e-09	2.59548581964e-10
t2	-0.041614979235	-0.365723762257	0.0327295333013	0.00173209077441	-0.0416078053145	0.00438388511165	-0.00776817459589	-3.86743782133e-09	2.59548581964e-10


eigvals	0.827807238253	0.466110088233	0.128182920908	0.026393461007	-0.00347896291202	0.00141558373142	0.000752708226905	-1.36753797459e-16	3.87419210664e-17
% variation explained	56.9275784922	32.0539823859	8.81502716351	1.81505518884	0.23924523137	0.0973484529477	0.0517630852797	9.40443883456e-15	2.66424796804e-15
