	sequences per sample	iteration	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	2.25475	0.94909	0.66022	2.32891	1.72226	1.94791	1.50731	1.88314	1.95032
alpha_rarefaction_10_1.biom	10	1	1.66231	1.79953	1.46149	2.41612	1.69015	1.62636	1.64568	2.03789	2.16351
alpha_rarefaction_10_2.biom	10	2	2.33483	1.83804	1.47402	2.07727	1.90925	1.73549	1.52228	1.87791	2.45704
alpha_rarefaction_10_3.biom	10	3	1.9726	1.64165	1.80349	2.08708	1.65194	1.48536	1.74222	1.90798	2.24339
alpha_rarefaction_10_4.biom	10	4	2.19492	1.99072	0.65227	2.20408	1.6764	1.8729	1.29279	1.80525	1.88212
alpha_rarefaction_10_5.biom	10	5	2.27977	1.85224	1.75193	1.84889	1.9722	1.61761	1.62199	1.76578	2.32504
alpha_rarefaction_10_6.biom	10	6	1.82452	1.46024	1.63022	1.86913	1.96601	0.91037	1.63668	1.65462	2.28223
alpha_rarefaction_10_7.biom	10	7	2.01585	2.02738	1.25857	1.38343	2.15997	1.32221	1.60312	2.26204	2.18332
alpha_rarefaction_10_8.biom	10	8	1.55289	1.66193	0.83609	2.26979	1.85359	1.60697	1.42072	1.93731	1.85076
alpha_rarefaction_10_9.biom	10	9	1.95491	1.79327	1.8116	2.04193	1.99636	1.93188	1.39434	1.83302	1.71685
alpha_rarefaction_23_0.biom	23	0	2.55442	2.05419	2.37787	3.25869	2.70739	2.24266	2.42862	3.68112	3.46409
alpha_rarefaction_23_1.biom	23	1	2.60978	2.51339	2.77888	3.50275	2.79145	2.21106	1.88376	3.12104	3.36242
alpha_rarefaction_23_2.biom	23	2	3.12471	3.44777	2.46107	3.00952	3.08078	2.19891	2.1356	3.41987	3.1445
alpha_rarefaction_23_3.biom	23	3	2.46724	2.90093	2.32474	4.03552	2.50382	2.60071	2.14059	3.2347	3.2407
alpha_rarefaction_23_4.biom	23	4	2.25472	2.74795	2.58671	2.66608	2.82733	2.85454	2.18798	2.99723	2.6815
alpha_rarefaction_23_5.biom	23	5	3.37716	2.88874	2.3914	3.06569	2.18914	2.81644	2.05972	2.67969	3.31593
alpha_rarefaction_23_6.biom	23	6	2.31313	3.09313	1.48641	3.04445	3.10343	2.67708	2.20144	2.7595	2.41387
alpha_rarefaction_23_7.biom	23	7	2.8672	2.94138	1.70825	3.29233	2.63937	2.61593	2.17669	3.36539	3.39641
alpha_rarefaction_23_8.biom	23	8	3.12987	3.31422	1.05828	2.83231	2.26144	2.62189	2.42005	3.11484	3.2218
alpha_rarefaction_23_9.biom	23	9	2.87544	3.07238	1.39067	3.72233	2.15039	2.3137	2.49773	2.28757	2.86947
alpha_rarefaction_36_0.biom	36	0	3.62549	3.54247	3.00499	3.71766	3.0749	2.95664	2.70868	4.23612	4.13983
alpha_rarefaction_36_1.biom	36	1	3.54739	3.58619	2.92994	4.24592	3.32984	2.77663	2.74517	3.66391	3.94711
alpha_rarefaction_36_2.biom	36	2	3.80536	3.58982	2.23587	3.8471	2.88346	2.92149	2.77909	4.23517	3.69965
alpha_rarefaction_36_3.biom	36	3	3.53099	3.30624	2.44668	4.59108	2.98213	3.23268	2.25225	3.85472	4.6552
alpha_rarefaction_36_4.biom	36	4	3.63695	3.24011	2.81561	3.93723	3.17654	3.08059	2.44656	3.77915	3.6848
alpha_rarefaction_36_5.biom	36	5	3.64618	3.32473	2.79757	4.01449	3.17516	3.14784	2.57241	3.91923	3.66281
alpha_rarefaction_36_6.biom	36	6	3.72808	3.63254	2.20194	3.80599	3.11882	2.5441	2.45048	4.14978	3.90507
alpha_rarefaction_36_7.biom	36	7	2.97947	3.41877	2.36209	3.40648	3.20575	2.5944	2.62862	4.12486	4.42886
alpha_rarefaction_36_8.biom	36	8	4.08383	3.71924	2.76402	3.94043	3.09118	2.84301	2.28433	4.27263	3.67767
alpha_rarefaction_36_9.biom	36	9	3.73987	3.44544	2.55807	3.7297	2.94955	3.13446	2.48979	3.80249	3.33689
alpha_rarefaction_49_0.biom	49	0	4.30895	3.96011	3.30907	4.93246	3.73746	3.09495	2.86677	4.50046	4.74621
alpha_rarefaction_49_1.biom	49	1	4.27815	3.62852	3.15512	4.24508	3.32789	3.83696	2.79935	4.95541	5.00412
alpha_rarefaction_49_2.biom	49	2	4.4295	3.58836	3.73647	4.59081	2.93677	3.39421	2.57969	4.53057	4.71805
