	sequences per sample	iteration	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	23.0	55.0	7.0	55.0	8.5	55.0	23.0	23.0	55.0
alpha_rarefaction_10_1.biom	10	1	9.0	55.0	12.0	55.0	55.0	23.0	23.0	23.0	23.0
alpha_rarefaction_10_2.biom	10	2	29.0	55.0	13.0	13.0	23.0	23.0	13.0	23.0	12.0
alpha_rarefaction_10_3.biom	10	3	13.0	23.0	55.0	23.0	23.0	12.0	23.0	55.0	23.0
alpha_rarefaction_10_4.biom	10	4	23.0	55.0	7.0	55.0	13.0	23.0	12.0	23.0	22.0
alpha_rarefaction_10_5.biom	10	5	13.0	29.0	23.0	13.0	12.0	13.0	13.0	13.0	23.0
alpha_rarefaction_10_6.biom	10	6	23.0	55.0	23.0	55.0	29.0	29.0	23.0	9.0	23.0
alpha_rarefaction_10_7.biom	10	7	29.0	55.0	23.0	55.0	55.0	29.0	29.0	23.0	23.0
alpha_rarefaction_10_8.biom	10	8	12.0	23.0	23.0	55.0	12.0	29.0	29.0	55.0	13.0
alpha_rarefaction_10_9.biom	10	9	29.0	13.0	23.0	55.0	29.0	55.0	9.0	55.0	13.0
alpha_rarefaction_23_0.biom	23	0	18.0	122.0	62.5	211.0	59.0	54.0	59.0	96.5	30.2
alpha_rarefaction_23_1.biom	23	1	47.3333333333	40.0	36.5	127.0	27.0	70.5	17.2	22.2	96.5
alpha_rarefaction_23_2.biom	23	2	94.0	96.5	55.0	54.0	70.5	29.75	48.0	40.0	31.0
alpha_rarefaction_23_3.biom	23	3	93.0	31.0	48.0	78.0	41.5	127.0	122.0	31.0	29.75
alpha_rarefaction_23_4.biom	23	4	29.0	78.0	70.5	78.0	29.75	191.0	33.3333333333	78.0	28.75
alpha_rarefaction_23_5.biom	23	5	62.5	59.0	62.5	43.0	26.0	54.0	122.0	24.8571428571	23.5
alpha_rarefaction_23_6.biom	23	6	37.0	54.0	93.0	59.0	53.0	127.0	24.0	23.5	32.5
alpha_rarefaction_23_7.biom	23	7	62.5	78.0	29.0	96.5	29.75	127.0	55.0	42.0	53.0
alpha_rarefaction_23_8.biom	23	8	80.0	211.0	38.0	54.0	17.2	59.0	32.5	211.0	31.0
alpha_rarefaction_23_9.biom	23	9	68.0	54.0	41.5	127.0	18.5	87.0	70.5	43.0	61.5
alpha_rarefaction_36_0.biom	36	0	80.0	74.2	77.5	71.1666666667	40.2	562.0	46.6666666667	179.0	81.0
alpha_rarefaction_36_1.biom	36	1	48.3333333333	66.5	130.0	90.0	141.0	91.25	99.5	165.0	66.75
alpha_rarefaction_36_2.biom	36	2	59.2	84.75	38.5	328.0	38.5	111.25	84.75	79.5	59.2
alpha_rarefaction_36_3.biom	36	3	49.3333333333	91.25	42.75	199.333333333	56.0	191.5	62.0	46.8571428571	58.6666666667
alpha_rarefaction_36_4.biom	36	4	36.1666666667	98.0	82.0	57.875	27.1111111111	72.5	61.0	166.0	52.0
alpha_rarefaction_36_5.biom	36	5	50.2	47.0	81.0	69.4285714286	35.6	111.333333333	130.0	60.2	129.0
alpha_rarefaction_36_6.biom	36	6	129.0	71.1666666667	81.0	234.0	32.0	119.0	59.2	165.0	141.5
alpha_rarefaction_36_7.biom	36	7	31.2	66.5	42.75	69.0	43.75	91.25	119.0	63.0	55.6
alpha_rarefaction_36_8.biom	36	8	255.0	85.1666666667	74.0	71.1666666667	42.75	58.2	81.0	129.0	62.0
alpha_rarefaction_36_9.biom	36	9	80.0	104.0	67.3333333333	98.0	43.0	111.333333333	38.5	74.2	46.0
alpha_rarefaction_49_0.biom	49	0	130.0	66.0	80.5	183.6	65.0	121.75	71.0	72.4285714286	67.0
alpha_rarefaction_49_1.biom	49	1	88.3333333333	68.1428571429	97.0	162.0	64.25	124.0	132.0	81.6	81.6
alpha_rarefaction_49_2.biom	49	2	80.6	104.666666667	112.333333333	179.25	27.4285714286	120.75	46.4285714286	92.0	208.5
alpha_rarefaction_49_3.biom	49	3	67.75	144.6	59.0	110.5	23.6	50.8571428571	46.4285714286	65.0	93.0
alpha_rarefaction_49_4.biom	49	4	55.5	108.0	121.0	64.625	25.0	136.5	42.0	159.0	75.2
alpha_rarefaction_49_5.biom	49	5	154.5	137.5	66.0	138.142857143	45.75	145.75	76.0	191.0	99.0
alpha_rarefaction_49_6.biom	49	6	40.2	95.0	61.2	121.666666667	48.125	136.5	114.25	83.0	86.2
alpha_rarefaction_49_7.biom	49	7	89.3333333333	72.1111111111	97.0	183.6	62.2	238.333333333	76.0	120.666666667	25.5
alpha_rarefaction_49_8.biom	49	8	55.1428571429	84.0	76.0	144.6	42.5	153.25	83.0	115.25	62.0
alpha_rarefaction_49_9.biom	49	9	95.0	66.0	142.5	318.5	60.0	170.0	206.5	150.0	56.5
alpha_rarefaction_62_0.biom	62	0	62.2	178.2	237.0	210.5	41.0	119.428571429	111.5	147.75	104.0
alpha_rarefaction_62_1.biom	62	1	65.0	89.3333333333	87.75	186.6	68.0	105.5	108.0	82.0	123.75
alpha_rarefaction_62_2.biom	62	2	56.25	147.6	106.0	179.2	71.5	82.875	112.6	163.0	286.0
alpha_rarefaction_62_3.biom	62	3	159.0	128.0	101.0	187.6	57.0	86.0	94.25	96.5	74.4285714286
alpha_rarefaction_62_4.biom	62	4	154.5	119.375	57.1428571429	242.0	65.2	114.125	106.2	130.5	107.2
alpha_rarefaction_62_5.biom	62	5	53.75	95.375	123.0	252.0	60.0	253.0	68.0	98.1111111111	50.125
alpha_rarefaction_62_6.biom	62	6	60.0	90.75	116.25	222.2	42.1666666667	182.25	106.2	304.0	74.1111111111
alpha_rarefaction_62_7.biom	62	7	104.2	79.625	160.0	142.142857143	53.1111111111	135.0	75.1666666667	130.0	109.0
alpha_rarefaction_62_8.biom	62	8	57.1428571429	156.0	182.0	107.333333333	36.0	155.2	102.142857143	149.0	54.1111111111
alpha_rarefaction_62_9.biom	62	9	75.1666666667	150.0	141.333333333	130.25	57.5	182.25	110.0	133.0	102.142857143
alpha_rarefaction_75_0.biom	75	0	77.0	160.0	239.0	216.0	74.3333333333	206.0	72.5	133.0	89.25
alpha_rarefaction_75_1.biom	75	1	101.0	159.0	133.0	227.5	93.3333333333	166.166666667	178.2	244.0	97.5
alpha_rarefaction_75_2.biom	75	2	130.5	169.142857143	93.0	125.1	85.5	137.875	100.125	108.333333333	63.3
alpha_rarefaction_75_3.biom	75	3	113.6	138.666666667	67.6666666667	207.0	53.6666666667	120.375	93.1666666667	117.0	59.75
alpha_rarefaction_75_4.biom	75	4	71.9090909091	129.111111111	94.0	155.5	111.0	244.0	69.0	91.0909090909	115.6
alpha_rarefaction_75_5.biom	75	5	120.2	190.6	182.0	313.75	64.6666666667	114.111111111	107.333333333	233.25	133.0
alpha_rarefaction_75_6.biom	75	6	119.2	154.5	111.6	122.375	60.5	138.5	186.0	146.166666667	76.1111111111
alpha_rarefaction_75_7.biom	75	7	90.1666666667	189.6	118.2	383.0	117.333333333	111.0	57.75	131.0	89.1111111111
alpha_rarefaction_75_8.biom	75	8	69.5	174.25	204.333333333	290.5	334.0	167.0	101.0	120.428571429	110.666666667
alpha_rarefaction_75_9.biom	75	9	111.5	180.0	139.2	133.272727273	63.6666666667	144.142857143	120.2	121.375	78.625
alpha_rarefaction_88_0.biom	88	0	99.0	186.0	96.375	126.909090909	74.1428571429	123.3	84.6	205.5	74.9090909091
alpha_rarefaction_88_1.biom	88	1	118.428571429	119.6	151.0	181.111111111	98.5	273.2	67.0	270.0	74.1428571429
alpha_rarefaction_88_2.biom	88	2	151.0	192.142857143	120.2	285.6	74.5	173.5	100.0	183.0	81.625
alpha_rarefaction_88_3.biom	88	3	103.666666667	128.1	174.0	208.0	62.1428571429	306.0	105.666666667	161.0	79.8333333333
alpha_rarefaction_88_4.biom	88	4	93.0	165.428571429	84.4285714286	135.25	61.1428571429	144.625	132.0	137.0	119.125
alpha_rarefaction_88_5.biom	88	5	101.0	200.428571429	174.0	176.0	150.5	155.333333333	135.5	183.0	112.428571429
alpha_rarefaction_88_6.biom	88	6	94.6666666667	169.875	254.0	143.1	81.2	272.5	96.0	180.75	71.0714285714
alpha_rarefaction_88_7.biom	88	7	156.2	140.875	90.3333333333	213.666666667	81.625	177.0	82.25	164.428571429	65.0
alpha_rarefaction_88_8.biom	88	8	99.1111111111	198.428571429	288.0	202.0	65.0	162.625	101.125	189.6	85.0
alpha_rarefaction_88_9.biom	88	9	192.75	162.0	103.142857143	246.2	127.0	213.428571429	108.666666667	150.428571429	73.5454545455
