	sequences per sample	iteration	PC.636	PC.481	PC.354	PC.635	PC.593	PC.356	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	9.0	10.0	6.0	10.0	7.0	10.0	9.0	9.0	10.0
alpha_rarefaction_10_1.biom	10	1	6.0	10.0	7.0	10.0	10.0	9.0	9.0	9.0	9.0
alpha_rarefaction_10_2.biom	10	2	8.0	10.0	8.0	8.0	9.0	9.0	8.0	9.0	7.0
alpha_rarefaction_10_3.biom	10	3	8.0	9.0	10.0	9.0	9.0	7.0	9.0	10.0	9.0
alpha_rarefaction_10_4.biom	10	4	9.0	10.0	6.0	10.0	8.0	9.0	7.0	9.0	7.0
alpha_rarefaction_10_5.biom	10	5	8.0	8.0	9.0	8.0	7.0	8.0	8.0	8.0	9.0
alpha_rarefaction_10_6.biom	10	6	9.0	10.0	9.0	10.0	8.0	8.0	9.0	6.0	9.0
alpha_rarefaction_10_7.biom	10	7	8.0	10.0	9.0	10.0	10.0	8.0	8.0	9.0	9.0
alpha_rarefaction_10_8.biom	10	8	7.0	9.0	9.0	10.0	7.0	8.0	8.0	10.0	8.0
alpha_rarefaction_10_9.biom	10	9	8.0	8.0	9.0	10.0	8.0	10.0	6.0	10.0	8.0
alpha_rarefaction_23_0.biom	23	0	11.0	17.0	17.0	21.0	19.0	20.0	19.0	20.0	17.0
alpha_rarefaction_23_1.biom	23	1	17.0	19.0	17.0	22.0	16.0	18.0	13.0	15.0	20.0
alpha_rarefaction_23_2.biom	23	2	16.0	20.0	16.0	20.0	18.0	16.0	15.0	19.0	18.0
alpha_rarefaction_23_3.biom	23	3	15.0	18.0	15.0	21.0	14.0	22.0	17.0	18.0	16.0
alpha_rarefaction_23_4.biom	23	4	11.0	21.0	18.0	18.0	16.0	20.0	15.0	21.0	15.0
alpha_rarefaction_23_5.biom	23	5	17.0	19.0	17.0	17.0	14.0	20.0	17.0	17.0	16.0
alpha_rarefaction_23_6.biom	23	6	15.0	20.0	15.0	19.0	18.0	22.0	15.0	16.0	16.0
alpha_rarefaction_23_7.biom	23	7	17.0	21.0	14.0	20.0	16.0	22.0	16.0	16.0	18.0
alpha_rarefaction_23_8.biom	23	8	14.0	21.0	16.0	20.0	13.0	19.0	16.0	21.0	18.0
alpha_rarefaction_23_9.biom	23	9	13.0	20.0	14.0	22.0	11.0	19.0	18.0	17.0	16.0
alpha_rarefaction_36_0.biom	36	0	20.0	28.0	25.0	29.0	22.0	34.0	24.0	29.0	24.0
alpha_rarefaction_36_1.biom	36	1	18.0	28.0	25.0	30.0	21.0	28.0	23.0	27.0	24.0
alpha_rarefaction_36_2.biom	36	2	25.0	27.0	19.0	28.0	19.0	30.0	27.0	27.0	25.0
alpha_rarefaction_36_3.biom	36	3	19.0	28.0	20.0	34.0	22.0	29.0	22.0	25.0	27.0
alpha_rarefaction_36_4.biom	36	4	21.0	29.0	25.0	29.0	21.0	25.0	21.0	28.0	22.0
alpha_rarefaction_36_5.biom	36	5	23.0	23.0	21.0	30.0	20.0	27.0	25.0	26.0	24.0
alpha_rarefaction_36_6.biom	36	6	24.0	29.0	21.0	31.0	21.0	24.0	25.0	27.0	26.0
alpha_rarefaction_36_7.biom	36	7	18.0	28.0	20.0	27.0	21.0	28.0	24.0	25.0	25.0
alpha_rarefaction_36_8.biom	36	8	24.0	31.0	23.0	29.0	20.0	24.0	24.0	29.0	22.0
alpha_rarefaction_36_9.biom	36	9	23.0	27.0	22.0	29.0	22.0	27.0	19.0	28.0	22.0
alpha_rarefaction_49_0.biom	49	0	30.0	31.0	28.0	43.0	30.0	34.0	29.0	33.0	29.0
alpha_rarefaction_49_1.biom	49	1	25.0	32.0	27.0	38.0	26.0	37.0	27.0	31.0	31.0
alpha_rarefaction_49_2.biom	49	2	30.0	37.0	28.0	39.0	21.0	33.0	27.0	32.0	33.0
alpha_rarefaction_49_3.biom	49	3	25.0	39.0	25.0	38.0	18.0	29.0	27.0	30.0	33.0
alpha_rarefaction_49_4.biom	49	4	27.0	33.0	29.0	33.0	18.0	35.0	27.0	33.0	29.0
alpha_rarefaction_49_5.biom	49	5	28.0	36.0	28.0	43.0	23.0	37.0	25.0	36.0	34.0
alpha_rarefaction_49_6.biom	49	6	22.0	37.0	27.0	39.0	29.0	35.0	33.0	33.0	31.0
alpha_rarefaction_49_7.biom	49	7	26.0	36.0	27.0	43.0	28.0	40.0	25.0	38.0	21.0
alpha_rarefaction_49_8.biom	49	8	28.0	34.0	25.0	39.0	25.0	37.0	33.0	34.0	32.0
alpha_rarefaction_49_9.biom	49	9	25.0	31.0	27.0	38.0	30.0	38.0	31.0	33.0	28.0
alpha_rarefaction_62_0.biom	62	0	28.0	45.0	34.0	44.0	28.0	44.0	39.0	39.0	35.0
alpha_rarefaction_62_1.biom	62	1	30.0	41.0	30.0	46.0	30.0	46.0	33.0	40.0	36.0
alpha_rarefaction_62_2.biom	62	2	30.0	42.0	29.0	46.0	33.0	39.0	37.0	39.0	38.0
alpha_rarefaction_62_3.biom	62	3	33.0	41.0	32.0	47.0	27.0	36.0	31.0	38.0	35.0
alpha_rarefaction_62_4.biom	62	4	28.0	45.0	30.0	47.0	31.0	44.0	36.0	36.0	37.0
alpha_rarefaction_62_5.biom	62	5	30.0	41.0	31.0	47.0	26.0	43.0	33.0	43.0	31.0
alpha_rarefaction_62_6.biom	62	6	30.0	40.0	35.0	50.0	27.0	42.0	36.0	40.0	38.0
alpha_rarefaction_62_7.biom	62	7	34.0	39.0	34.0	47.0	32.0	45.0	33.0	42.0	32.0
alpha_rarefaction_62_8.biom	62	8	30.0	45.0	37.0	45.0	25.0	43.0	40.0	44.0	33.0
alpha_rarefaction_62_9.biom	62	9	33.0	45.0	33.0	47.0	29.0	42.0	35.0	40.0	40.0
alpha_rarefaction_75_0.biom	75	0	38.0	49.0	36.0	52.0	29.0	50.0	34.0	45.0	42.0
alpha_rarefaction_75_1.biom	75	1	38.0	48.0	33.0	55.0	30.0	49.0	45.0	49.0	39.0
alpha_rarefaction_75_2.biom	75	2	36.0	52.0	39.0	51.0	33.0	50.0	42.0	46.0	38.0
alpha_rarefaction_75_3.biom	75	3	38.0	52.0	37.0	51.0	31.0	46.0	39.0	47.0	36.0
alpha_rarefaction_75_4.biom	75	4	40.0	51.0	34.0	53.0	36.0	49.0	34.0	46.0	40.0
alpha_rarefaction_75_5.biom	75	5	39.0	50.0	37.0	55.0	33.0	48.0	45.0	48.0	45.0
alpha_rarefaction_75_6.biom	75	6	38.0	52.0	36.0	48.0	32.0	45.0	41.0	47.0	40.0
alpha_rarefaction_75_7.biom	75	7	36.0	49.0	37.0	53.0	33.0	45.0	34.0	46.0	44.0
alpha_rarefaction_75_8.biom	75	8	35.0	56.0	39.0	54.0	34.0	43.0	38.0	45.0	43.0
alpha_rarefaction_75_9.biom	75	9	39.0	50.0	40.0	55.0	32.0	49.0	39.0	47.0	38.0
alpha_rarefaction_88_0.biom	88	0	41.0	57.0	42.0	56.0	38.0	53.0	44.0	55.0	43.0
alpha_rarefaction_88_1.biom	88	1	43.0	53.0	46.0	61.0	40.0	57.0	42.0	48.0	38.0
alpha_rarefaction_88_2.biom	88	2	46.0	57.0	39.0	60.0	36.0	50.0	42.0	53.0	41.0
alpha_rarefaction_88_3.biom	88	3	45.0	54.0	42.0	61.0	35.0	61.0	47.0	50.0	46.0
alpha_rarefaction_88_4.biom	88	4	39.0	54.0	38.0	60.0	34.0	52.0	47.0	55.0	49.0
alpha_rarefaction_88_5.biom	88	5	38.0	59.0	42.0	61.0	35.0	55.0	41.0	53.0	46.0
alpha_rarefaction_88_6.biom	88	6	43.0	57.0	44.0	57.0	35.0	60.0	42.0	57.0	46.0
alpha_rarefaction_88_7.biom	88	7	44.0	53.0	42.0	56.0	41.0	54.0	46.0	53.0	42.0
alpha_rarefaction_88_8.biom	88	8	44.0	57.0	40.0	61.0	35.0	55.0	43.0	49.0	43.0
alpha_rarefaction_88_9.biom	88	9	44.0	51.0	41.0	57.0	35.0	59.0	41.0	50.0	44.0
alpha_rarefaction_101_0.biom	101	0	47.0	64.0	52.0	67.0	38.0	62.0	47.0	59.0	50.0
alpha_rarefaction_101_1.biom	101	1	53.0	59.0	51.0	67.0	35.0	60.0	46.0	60.0	53.0
alpha_rarefaction_101_2.biom	101	2	47.0	59.0	48.0	66.0	37.0	65.0	47.0	57.0	51.0
alpha_rarefaction_101_3.biom	101	3	48.0	60.0	46.0	65.0	39.0	60.0	50.0	54.0	56.0
alpha_rarefaction_101_4.biom	101	4	50.0	59.0	49.0	67.0	40.0	64.0	49.0	57.0	44.0
alpha_rarefaction_101_5.biom	101	5	51.0	62.0	49.0	63.0	37.0	63.0	52.0	58.0	52.0
alpha_rarefaction_101_6.biom	101	6	46.0	59.0	50.0	68.0	35.0	66.0	47.0	58.0	49.0
alpha_rarefaction_101_7.biom	101	7	53.0	66.0	51.0	69.0	40.0	65.0	51.0	56.0	52.0
alpha_rarefaction_101_8.biom	101	8	40.0	61.0	46.0	71.0	35.0	63.0	52.0	55.0	52.0
alpha_rarefaction_101_9.biom	101	9	50.0	63.0	46.0	70.0	39.0	61.0	51.0	60.0	45.0
alpha_rarefaction_114_0.biom	114	0	52.0	69.0	49.0	73.0	37.0	66.0	55.0	66.0	56.0
alpha_rarefaction_114_1.biom	114	1	54.0	66.0	52.0	72.0	39.0	70.0	53.0	65.0	55.0
alpha_rarefaction_114_2.biom	114	2	54.0	66.0	59.0	76.0	36.0	66.0	54.0	59.0	56.0
alpha_rarefaction_114_3.biom	114	3	53.0	65.0	53.0	73.0	40.0	68.0	55.0	60.0	57.0
alpha_rarefaction_114_4.biom	114	4	54.0	68.0	51.0	75.0	39.0	70.0	54.0	63.0	54.0
alpha_rarefaction_114_5.biom	114	5	53.0	64.0	47.0	70.0	45.0	66.0	56.0	57.0	55.0
alpha_rarefaction_114_6.biom	114	6	52.0	69.0	53.0	74.0	39.0	63.0	51.0	66.0	53.0
alpha_rarefaction_114_7.biom	114	7	48.0	70.0	51.0	76.0	38.0	68.0	52.0	66.0	53.0
alpha_rarefaction_114_8.biom	114	8	54.0	64.0	52.0	74.0	40.0	64.0	54.0	62.0	56.0
alpha_rarefaction_114_9.biom	114	9	52.0	69.0	49.0	75.0	43.0	68.0	57.0	63.0	54.0
alpha_rarefaction_127_0.biom	127	0	55.0	73.0	58.0	79.0	43.0	74.0	59.0	75.0	59.0
alpha_rarefaction_127_1.biom	127	1	58.0	72.0	53.0	77.0	43.0	72.0	57.0	72.0	54.0
alpha_rarefaction_127_2.biom	127	2	54.0	70.0	57.0	77.0	40.0	75.0	57.0	72.0	55.0
alpha_rarefaction_127_3.biom	127	3	55.0	72.0	51.0	78.0	41.0	77.0	54.0	66.0	58.0
