	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	2.20525	1.66943	1.48472	1.80608	0.62312	1.96346	1.74624	2.04876	2.2352
alpha_rarefaction_10_1.biom	10	1	1.55402	1.90082	1.21479	1.69583	0.88133	1.52234	1.77671	1.88065	2.35298
alpha_rarefaction_10_2.biom	10	2	1.59543	1.65726	1.47505	1.36376	0.98895	2.1225	1.23577	1.67267	2.4001
alpha_rarefaction_10_3.biom	10	3	1.53042	1.57251	1.22398	1.42951	1.28282	1.63022	1.08841	2.19312	1.66457
alpha_rarefaction_10_4.biom	10	4	1.41933	1.86644	1.39411	1.76375	0.68554	1.92029	1.27303	1.66634	1.87638
alpha_rarefaction_10_5.biom	10	5	2.1198	1.80014	1.47688	1.4236	1.45141	1.43051	1.42565	1.99959	1.97669
alpha_rarefaction_10_6.biom	10	6	1.70547	2.03207	1.36457	1.63283	0.68223	1.70354	1.42144	1.8412	1.83619
alpha_rarefaction_10_7.biom	10	7	1.49086	1.68666	1.68422	1.97095	0.99375	1.71707	1.40708	1.80798	1.67599
alpha_rarefaction_10_8.biom	10	8	1.59583	1.66525	1.39739	0.71536	1.30159	1.21027	1.22159	1.81438	1.9649
alpha_rarefaction_10_9.biom	10	9	1.5998	1.93274	1.49198	1.76312	0.64164	2.27768	1.58187	2.16411	2.34244
alpha_rarefaction_23_0.biom	23	0	3.16395	2.14155	2.36206	1.94515	2.46011	2.55145	2.01578	2.19877	3.25451
alpha_rarefaction_23_1.biom	23	1	2.89939	3.21909	2.48945	2.25332	2.235	2.26744	1.66328	2.78334	3.38957
alpha_rarefaction_23_2.biom	23	2	2.16681	2.82684	2.17962	2.31708	1.5841	2.4828	1.99848	2.88496	3.18959
alpha_rarefaction_23_3.biom	23	3	2.64358	2.77256	2.33112	2.41782	1.47664	2.38396	1.84739	2.75535	3.07406
alpha_rarefaction_23_4.biom	23	4	2.22219	2.22881	2.40228	2.19343	1.93365	2.7623	1.85721	3.35086	2.9534
alpha_rarefaction_23_5.biom	23	5	3.00281	2.79308	2.39896	2.2699	2.0738	2.60511	2.03281	3.725	2.77761
alpha_rarefaction_23_6.biom	23	6	3.53857	2.96659	2.27014	2.62614	1.92774	2.34743	1.99551	2.78767	3.23398
alpha_rarefaction_23_7.biom	23	7	2.3443	3.21683	2.00801	2.95461	1.93687	2.06651	1.81236	3.10652	2.74914
alpha_rarefaction_23_8.biom	23	8	2.82464	2.71639	2.37151	2.06129	2.28804	1.8652	1.67204	2.71343	3.14503
alpha_rarefaction_23_9.biom	23	9	2.62787	2.52641	1.70107	2.46695	2.26211	2.26932	2.00344	3.41253	3.1675
alpha_rarefaction_36_0.biom	36	0	3.3146	3.64455	2.73056	2.76854	2.23088	3.11235	2.43297	3.89362	4.0393
alpha_rarefaction_36_1.biom	36	1	2.86201	3.72842	2.65571	3.15897	2.60379	3.19865	2.44328	3.60105	3.39941
alpha_rarefaction_36_2.biom	36	2	3.23786	3.87137	2.7404	2.87643	2.22621	2.71366	2.40247	3.10568	3.67551
alpha_rarefaction_36_3.biom	36	3	3.08713	3.57669	2.61869	2.93234	2.27201	3.14658	2.3451	3.7131	3.38572
alpha_rarefaction_36_4.biom	36	4	3.04447	3.37742	2.99664	3.31817	2.7595	2.5311	2.4648	3.86294	4.20415
alpha_rarefaction_36_5.biom	36	5	3.54784	4.29312	3.06893	2.92203	1.94566	2.71237	2.41004	3.53625	3.50261
alpha_rarefaction_36_6.biom	36	6	3.21531	3.77079	2.09274	2.84733	2.73685	3.20241	1.88343	3.65422	3.80066
alpha_rarefaction_36_7.biom	36	7	2.88633	3.35416	2.59161	2.57896	2.47108	2.83877	2.45134	3.67746	3.43979
alpha_rarefaction_36_8.biom	36	8	3.86945	3.59898	2.9469	3.01321	2.35328	3.33279	2.09823	3.54302	3.32351
alpha_rarefaction_36_9.biom	36	9	2.70579	4.01629	2.595	3.72968	3.08103	2.75096	2.1358	3.20083	4.14016
alpha_rarefaction_49_0.biom	49	0	3.75345	5.31025	3.26247	3.87531	3.65065	2.96712	2.60193	4.15168	3.98492
alpha_rarefaction_49_1.biom	49	1	3.83125	4.81735	3.3035	3.48582	2.71362	3.35779	2.41488	3.96806	4.31663
alpha_rarefaction_49_2.biom	49	2	4.2649	4.60207	3.15352	4.01718	2.99735	3.39852	2.91413	5.02611	4.31188
alpha_rarefaction_49_3.biom	49	3	3.73198	3.96255	3.41938	3.32268	3.21909	2.84162	2.81506	4.46866	4.48825
alpha_rarefaction_49_4.biom	49	4	3.68965	4.39095	3.27519	3.21726	3.2223	3.41866	2.88772	4.44089	3.69917
alpha_rarefaction_49_5.biom	49	5	4.15515	4.01495	2.88419	4.18001	2.88308	3.47378	2.3462	4.66649	4.05145
alpha_rarefaction_49_6.biom	49	6	3.91071	4.28269	3.16141	3.57791	2.60162	3.4449	2.84415	4.32762	4.71682
alpha_rarefaction_49_7.biom	49	7	3.56797	4.35948	2.77833	4.37388	3.31662	2.84133	2.82303	4.55492	4.84924
alpha_rarefaction_49_8.biom	49	8	4.36749	4.30656	3.20768	3.8096	2.52373	3.35307	2.87916	3.92496	4.14769
alpha_rarefaction_49_9.biom	49	9	4.40158	4.6044	2.72739	3.26451	3.0807	3.02485	2.24262	4.10564	4.19859
alpha_rarefaction_62_0.biom	62	0	4.2701	5.3079	3.70514	4.51431	3.53593	3.42191	3.2657	4.81764	4.78535
alpha_rarefaction_62_1.biom	62	1	4.11711	5.13984	3.37975	4.05769	3.69098	3.52639	3.16371	4.86074	4.98538
alpha_rarefaction_62_2.biom	62	2	3.7774	4.75461	3.66253	4.30304	3.31919	3.58881	2.5548	4.78289	4.95446
alpha_rarefaction_62_3.biom	62	3	4.79658	5.76617	3.49145	4.30557	3.35301	3.81218	3.19643	4.87991	4.80548
alpha_rarefaction_62_4.biom	62	4	4.11351	5.07839	3.01015	4.39067	3.10133	3.9934	2.75634	4.76651	4.65669
alpha_rarefaction_62_5.biom	62	5	4.29878	4.41433	3.30816	3.87672	3.62893	3.00319	2.726	4.83164	4.7957
alpha_rarefaction_62_6.biom	62	6	4.56713	5.17535	3.67972	4.6709	3.29347	3.01534	2.89906	4.75208	4.86014
alpha_rarefaction_62_7.biom	62	7	4.55321	5.16987	3.47278	4.37401	3.31666	3.09897	2.73936	5.28755	5.11226
alpha_rarefaction_62_8.biom	62	8	3.95157	5.79263	3.54123	4.79652	3.68366	3.45561	3.15144	4.86567	4.89833
alpha_rarefaction_62_9.biom	62	9	4.43605	5.80413	3.87124	5.00878	3.25186	2.94829	3.40082	4.47216	4.95643
alpha_rarefaction_75_0.biom	75	0	4.61908	5.4727	4.02779	4.44042	3.87709	3.78706	3.10506	4.83662	5.04619
alpha_rarefaction_75_1.biom	75	1	4.90147	5.67545	3.56381	4.72963	4.04251	3.47502	3.18135	5.07716	5.64817
alpha_rarefaction_75_2.biom	75	2	4.81159	5.18673	3.87415	4.95668	3.83868	3.96816	3.39651	4.77139	4.99893
alpha_rarefaction_75_3.biom	75	3	4.50685	5.64996	3.45293	4.95413	3.87199	4.0735	3.55195	5.69626	5.12359
alpha_rarefaction_75_4.biom	75	4	4.04037	5.54472	3.8641	5.01787	3.76252	3.21512	3.34778	5.44654	5.45696
alpha_rarefaction_75_5.biom	75	5	4.04657	5.72483	3.55653	4.53901	3.67696	4.02184	3.69501	4.53456	4.78861
alpha_rarefaction_75_6.biom	75	6	4.76038	5.42855	3.79154	4.28838	3.44816	3.97625	3.53121	5.05521	5.01102
alpha_rarefaction_75_7.biom	75	7	4.99105	5.86738	3.33948	5.29115	3.63306	3.74326	2.84118	5.37579	5.09501
alpha_rarefaction_75_8.biom	75	8	4.66991	5.22285	3.61547	4.61227	3.4993	3.79666	3.53009	5.27715	4.63874
alpha_rarefaction_75_9.biom	75	9	4.26193	5.62777	4.3153	4.51892	3.34751	3.78694	3.56379	4.7553	5.50358
alpha_rarefaction_88_0.biom	88	0	5.5635	6.02102	4.23788	5.40584	4.18413	4.32688	3.08597	5.4804	5.42217
alpha_rarefaction_88_1.biom	88	1	4.77785	5.9848	4.54753	4.82282	4.34765	4.02909	3.57059	5.02313	5.63958
alpha_rarefaction_88_2.biom	88	2	5.13536	6.27216	3.77525	4.03182	4.59121	3.8272	3.39342	5.49007	5.7824
alpha_rarefaction_88_3.biom	88	3	4.99	6.03951	3.90474	4.9169	3.79777	3.99514	3.34078	5.30182	5.10888
alpha_rarefaction_88_4.biom	88	4	5.04574	5.55582	4.44182	4.76095	3.83124	4.12567	3.23671	5.68121	5.08168
alpha_rarefaction_88_5.biom	88	5	4.54497	5.91422	3.7543	5.21486	4.07167	4.32104	3.75848	5.86473	5.44983
alpha_rarefaction_88_6.biom	88	6	4.71884	5.61383	4.01305	4.37327	4.49199	4.04402	3.66595	5.79401	5.12672
alpha_rarefaction_88_7.biom	88	7	4.78056	5.5233	4.34601	5.05196	3.98698	3.90963	3.53731	5.5359	5.7215
alpha_rarefaction_88_8.biom	88	8	5.1029	5.80824	4.40826	4.807	3.83917	4.32788	3.75606	5.23908	5.39542
alpha_rarefaction_88_9.biom	88	9	5.45158	6.22445	4.04267	5.18551	4.40671	3.51798	3.71682	6.14576	5.06461
alpha_rarefaction_101_0.biom	101	0	5.5836	6.08716	4.85661	5.23861	4.68655	4.35367	4.00791	5.55366	5.95173
alpha_rarefaction_101_1.biom	101	1	5.33276	5.76466	4.25596	5.59018	3.8886	4.23448	3.54932	6.33463	5.95782
alpha_rarefaction_101_2.biom	101	2	5.05134	6.65613	3.91405	5.83246	4.09962	4.34975	3.68112	6.22936	5.46063
alpha_rarefaction_101_3.biom	101	3	5.55962	6.21527	3.86526	5.40998	4.38822	4.15031	3.82283	6.07072	5.76488
alpha_rarefaction_101_4.biom	101	4	5.54861	6.00538	4.45004	5.40818	4.11859	4.19619	4.25833	6.05732	5.98392
alpha_rarefaction_101_5.biom	101	5	4.98116	6.90283	4.36748	4.7887	4.34204	4.17183	3.44887	5.54269	5.34894
alpha_rarefaction_101_6.biom	101	6	5.84252	6.59595	4.53794	5.61587	4.64654	4.18547	3.7963	6.50414	5.53451
alpha_rarefaction_101_7.biom	101	7	5.50722	6.93558	4.46353	5.2897	4.40076	4.16589	3.94188	5.40927	6.01753
alpha_rarefaction_101_8.biom	101	8	5.51019	6.41448	4.74284	5.30206	4.77807	4.3089	3.96493	5.95805	5.36989
alpha_rarefaction_101_9.biom	101	9	5.27961	5.99227	4.55747	4.95404	4.1599	4.37839	3.4183	6.26501	5.63163
alpha_rarefaction_114_0.biom	114	0	5.82252	6.37478	4.81265	5.53899	4.65731	4.37555	3.70856	6.28569	6.14657
alpha_rarefaction_114_1.biom	114	1	5.96756	6.59564	4.30314	5.34103	4.73961	4.19795	3.88009	5.96035	6.00732
alpha_rarefaction_114_2.biom	114	2	5.24431	6.54717	4.93777	5.76919	4.01619	4.46741	4.40505	6.36409	5.97734
alpha_rarefaction_114_3.biom	114	3	5.24015	6.68089	4.50508	4.96365	4.50324	4.4826	4.09621	6.24958	6.18507
alpha_rarefaction_114_4.biom	114	4	5.78231	6.2679	4.78981	5.39515	4.51661	4.62818	3.91925	6.61184	6.27129
alpha_rarefaction_114_5.biom	114	5	5.67717	6.53942	4.77156	5.4172	4.83043	4.67231	4.06621	6.27508	5.98091
alpha_rarefaction_114_6.biom	114	6	6.02024	6.77743	4.85839	5.51301	4.76373	4.42736	3.94119	6.67362	5.71709
alpha_rarefaction_114_7.biom	114	7	5.10411	6.16999	4.60972	5.65692	5.07674	4.41571	4.08329	6.27965	6.06236
alpha_rarefaction_114_8.biom	114	8	5.99832	6.71228	4.65589	6.04286	4.50047	4.08171	4.03501	6.37895	5.94296
alpha_rarefaction_114_9.biom	114	9	5.11899	6.41464	4.10316	6.08424	4.42744	4.35003	4.2205	6.15411	6.02903
alpha_rarefaction_127_0.biom	127	0	5.60097	7.2288	4.94777	5.66844	4.99527	4.7227	4.04655	6.93161	6.15907
alpha_rarefaction_127_1.biom	127	1	6.02859	6.90736	5.30567	5.73504	4.87139	4.68153	4.0595	6.54442	5.96386
alpha_rarefaction_127_2.biom	127	2	6.12418	6.74977	5.17213	5.62644	5.17518	4.50065	4.24647	6.72629	6.34571
alpha_rarefaction_127_3.biom	127	3	5.71856	6.56109	5.02527	6.13243	5.25702	4.47219	4.42439	6.68641	6.17994
alpha_rarefaction_127_4.biom	127	4	5.87357	7.0964	5.09365	5.90043	4.7626	4.64227	4.03927	6.65247	6.29058
alpha_rarefaction_127_5.biom	127	5	6.26341	6.94784	5.29413	6.14366	5.11968	4.11141	4.31584	7.19734	6.46727
alpha_rarefaction_127_6.biom	127	6	5.78317	7.0448	4.80126	6.16124	4.9795	4.65563	4.09033	6.73951	6.27658
alpha_rarefaction_127_7.biom	127	7	6.1196	6.98089	5.09157	6.06904	4.89416	4.78933	4.2622	6.78202	5.98783
alpha_rarefaction_127_8.biom	127	8	6.02852	6.74945	5.37786	5.89117	4.92897	4.80442	4.15389	6.77988	6.46885
alpha_rarefaction_127_9.biom	127	9	6.18915	6.93065	5.24706	6.08536	5.14092	4.60422	4.2527	6.5421	5.96476
alpha_rarefaction_140_0.biom	140	0	6.31989	7.32308	5.26127	5.9551	5.40341	4.77031	4.35609	7.25526	6.38176
alpha_rarefaction_140_1.biom	140	1	6.07542	7.06449	5.44555	6.21289	5.34086	4.84129	4.2597	7.15752	6.51926
alpha_rarefaction_140_2.biom	140	2	6.19131	7.17157	5.38163	6.23098	5.22768	4.67976	4.44243	7.25701	6.38997
alpha_rarefaction_140_3.biom	140	3	6.18477	7.19663	5.19328	6.2396	5.14924	4.80684	4.29669	7.3172	6.28428
alpha_rarefaction_140_4.biom	140	4	6.23463	7.42959	5.40079	6.26634	5.18446	4.84129	4.43756	6.85304	6.38798
alpha_rarefaction_140_5.biom	140	5	6.26012	7.11334	5.41536	6.1891	5.28675	4.82879	4.42634	7.00798	6.32029
alpha_rarefaction_140_6.biom	140	6	6.37307	7.32005	5.37602	6.22946	5.26668	4.52008	4.4491	7.16385	6.46768
alpha_rarefaction_140_7.biom	140	7	6.29815	7.36796	5.27951	6.24097	5.19542	4.66211	4.46819	7.18442	6.51437
alpha_rarefaction_140_8.biom	140	8	6.31861	7.14271	5.25299	6.04098	5.23454	4.78838	4.0592	6.93043	6.46856
alpha_rarefaction_140_9.biom	140	9	6.25659	7.23123	5.45768	6.26648	5.04961	4.76794	4.46218	6.87184	6.3685
