	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	55.0	55.0	23.0	55.0	11.0	8.5	55.0	23.0	55.0
alpha_rarefaction_10_1.biom	10	1	22.0	23.0	29.0	55.0	13.0	55.0	13.0	55.0	23.0
alpha_rarefaction_10_2.biom	10	2	12.0	55.0	55.0	55.0	13.0	29.0	7.0	55.0	55.0
alpha_rarefaction_10_3.biom	10	3	7.0	55.0	13.0	23.0	7.0	12.0	12.0	55.0	22.0
alpha_rarefaction_10_4.biom	10	4	22.0	55.0	23.0	55.0	9.0	55.0	23.0	23.0	23.0
alpha_rarefaction_10_5.biom	10	5	23.0	23.0	55.0	55.0	23.0	13.0	23.0	55.0	29.0
alpha_rarefaction_10_6.biom	10	6	16.0	55.0	13.0	55.0	16.0	13.0	55.0	23.0	29.0
alpha_rarefaction_10_7.biom	10	7	12.0	55.0	55.0	55.0	7.0	55.0	29.0	23.0	55.0
alpha_rarefaction_10_8.biom	10	8	12.0	23.0	23.0	13.0	23.0	23.0	8.5	23.0	13.0
alpha_rarefaction_10_9.biom	10	9	22.0	55.0	55.0	55.0	29.0	55.0	23.0	55.0	55.0
alpha_rarefaction_23_0.biom	23	0	96.5	27.0	127.0	49.0	87.0	30.2	24.0	49.0	69.5
alpha_rarefaction_23_1.biom	23	1	42.0	54.0	59.0	138.0	122.0	22.2	36.5	70.5	53.0
alpha_rarefaction_23_2.biom	23	2	22.0	54.0	191.0	96.5	26.0	22.2	49.0	59.0	55.0
alpha_rarefaction_23_3.biom	23	3	62.5	70.5	96.5	40.75	22.3333333333	32.5	22.2	43.0	36.5
alpha_rarefaction_23_4.biom	23	4	41.5	78.0	211.0	59.0	22.5	33.3333333333	32.5	211.0	70.5
alpha_rarefaction_23_5.biom	23	5	154.0	96.5	78.0	40.75	53.0	18.25	38.0	59.0	70.5
alpha_rarefaction_23_6.biom	23	6	96.5	78.0	59.0	211.0	69.0	31.0	58.0	43.0	26.25
alpha_rarefaction_23_7.biom	23	7	68.0	127.0	59.0	127.0	21.2	15.75	62.5	54.0	33.3333333333
alpha_rarefaction_23_8.biom	23	8	55.0	43.0	78.0	54.0	94.0	17.25	94.0	31.0	28.75
alpha_rarefaction_23_9.biom	23	9	69.5	59.0	62.5	155.0	48.0	25.25	38.0	70.5	87.0
alpha_rarefaction_36_0.biom	36	0	61.0	57.875	167.333333333	73.5	63.5	46.0	103.0	191.5	68.0
alpha_rarefaction_36_1.biom	36	1	88.0	138.333333333	62.0	84.2	55.0	47.6666666667	108.5	57.0	67.3333333333
alpha_rarefaction_36_2.biom	36	2	46.25	120.0	69.0	73.5	34.5	31.0	67.3333333333	43.0	62.25
alpha_rarefaction_36_3.biom	36	3	38.2	74.2	58.0	74.2	50.3333333333	39.2	175.0	55.6	43.0
alpha_rarefaction_36_4.biom	36	4	51.0	118.75	129.0	91.25	74.0	42.75	67.75	66.5	62.25
alpha_rarefaction_36_5.biom	36	5	73.0	90.0	85.1666666667	118.75	46.25	21.6666666667	67.3333333333	120.0	67.75
alpha_rarefaction_36_6.biom	36	6	66.3333333333	104.0	68.3333333333	257.0	141.5	36.5	43.0	78.6	88.3333333333
alpha_rarefaction_36_7.biom	36	7	34.5	118.75	69.4285714286	96.0	62.25	40.2	234.0	98.0	73.5
alpha_rarefaction_36_8.biom	36	8	33.0	64.0	167.333333333	44.0	51.0	51.3333333333	34.0	60.2	36.1666666667
alpha_rarefaction_36_9.biom	36	9	108.0	179.0	111.333333333	91.25	120.0	39.5	54.6	104.0	69.0
alpha_rarefaction_49_0.biom	49	0	84.75	128.0	85.1428571429	115.5	64.0	41.5	60.0	86.2	81.5
alpha_rarefaction_49_1.biom	49	1	41.1428571429	124.0	100.142857143	123.0	61.2	41.2	49.8571428571	86.1428571429	410.0
alpha_rarefaction_49_2.biom	49	2	138.333333333	707.0	99.0	117.2	44.0	41.0	80.5	76.0	47.125
alpha_rarefaction_49_3.biom	49	3	79.5	110.5	121.666666667	140.166666667	80.5	45.0	66.0	110.6	92.0
alpha_rarefaction_49_4.biom	49	4	46.125	355.0	144.6	129.5	59.6666666667	53.2	151.0	94.0	42.6
