# The tests of significance were performed using a two-sided Student's two-sample t-test.
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in the groups).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within SampleType	All between SampleType	-11.4203033834	3.49930476027e-13	1.57468714212e-11	0.001	0.045
All within SampleType	Tongue vs. Tongue	-0.391549563853	0.707037124472	1	1.000	1.000
All within SampleType	feces vs. feces	0.574606936281	0.576171159208	1	0.618	1.000
All within SampleType	L_palm vs. L_palm	1.92861800567	0.095115628378	1	0.222	1.000
All within SampleType	Tongue vs. feces	-12.0251201378	9.10556026201e-09	4.0975021179e-07	0.001	0.045
All within SampleType	Tongue vs. Other	-6.96335263309	0.000116843397476	0.00525795288643	0.020	0.900
All within SampleType	Tongue vs. L_palm	-4.99030457819	0.00054507120767	0.0245282043452	0.002	0.090
All within SampleType	feces vs. Other	-10.0507337929	1.51747844231e-06	6.8286529904e-05	0.002	0.090
All within SampleType	feces vs. L_palm	-9.98642266745	9.4999076757e-08	4.27495845406e-06	0.001	0.045
All within SampleType	Other vs. L_palm	-6.96335263309	0.000116843397476	0.00525795288643	0.026	1.000
All between SampleType	Tongue vs. Tongue	-5.12748149058	2.16249655906e-05	0.000973123451579	0.023	1.000
All between SampleType	feces vs. feces	11.6069050224	5.2462701333e-13	2.36082155998e-11	0.001	0.045
All between SampleType	L_palm vs. L_palm	-2.32559401729	0.0277967663274	1	0.021	0.945
All between SampleType	Tongue vs. feces	-0.54752222958	0.58759651491	1	0.633	1.000
All between SampleType	Tongue vs. Other	-1.7109456296	0.098149949166	1	0.124	1.000
All between SampleType	Tongue vs. L_palm	3.06872092069	0.00453084970316	0.203888236642	0.003	0.135
All between SampleType	feces vs. Other	-2.42503748715	0.0215377872526	0.969200426368	0.018	0.810
All between SampleType	feces vs. L_palm	1.76164782015	0.0871196355404	1	0.095	1.000
All between SampleType	Other vs. L_palm	-1.7109456296	0.098149949166	1	0.127	1.000
Tongue vs. Tongue	feces vs. feces	-0.200401499238	0.849062904893	1	1.000	1.000
Tongue vs. Tongue	L_palm vs. L_palm	N/A	N/A	N/A	N/A	N/A
Tongue vs. Tongue	Tongue vs. feces	-86.1755401575	7.46129306275e-12	3.35758187824e-10	0.115	1.000
Tongue vs. Tongue	Tongue vs. Other	N/A	N/A	N/A	N/A	N/A
Tongue vs. Tongue	Tongue vs. L_palm	-5.12221222643	0.0144045891772	0.648206512972	0.039	1.000
Tongue vs. Tongue	feces vs. Other	N/A	N/A	N/A	N/A	N/A
