# The tests of significance were performed using a two-sided Student's two-sample t-test.
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in the groups).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within day	All between day	-0.621540306147	0.538389616892	1	0.537	1.000
All within day	21 vs. 21	0.198609586085	0.84698219692	1	0.992	1.000
All within day	22 vs. 22	-1.37588426501	0.19047018097	1	0.190	1.000
All within day	23 vs. 23	2.15583638085	0.0540948826875	1	0.061	1.000
All within day	21 vs. 22	-0.301786611528	0.766701966443	1	0.766	1.000
All within day	21 vs. 23	-1.11644788208	0.283026190184	1	0.272	1.000
All within day	22 vs. 23	-0.263212752638	0.795079235165	1	0.787	1.000
All between day	21 vs. 21	0.0095340164527	0.992468745442	1	0.980	1.000
All between day	22 vs. 22	-1.17937494991	0.247517631273	1	0.250	1.000
All between day	23 vs. 23	3.1212848748	0.00425908304196	0.119254325175	0.005	0.140
All between day	21 vs. 22	0.205770546903	0.838273653919	1	0.830	1.000
All between day	21 vs. 23	-0.785615864634	0.438253660675	1	0.447	1.000
All between day	22 vs. 23	0.285626079861	0.776801580954	1	0.747	1.000
21 vs. 21	22 vs. 22	-0.696582213606	0.517111715948	1	0.691	1.000
21 vs. 21	23 vs. 23	4.20226511957	0.0522312561586	1	0.259	1.000
21 vs. 21	21 vs. 22	0.0868454722968	0.933226380814	1	0.996	1.000
21 vs. 21	21 vs. 23	-1.48817107943	0.196871204539	1	0.143	1.000
21 vs. 21	22 vs. 23	0.0910191947577	0.929113658715	1	0.983	1.000
22 vs. 22	23 vs. 23	5.57424858847	0.000838271776714	0.023471609748	0.013	0.364
22 vs. 22	21 vs. 22	1.24181149762	0.23802993408	1	0.267	1.000
22 vs. 22	21 vs. 23	0.646431390049	0.532554758775	1	0.507	1.000
22 vs. 22	22 vs. 23	1.13001237595	0.27512728825	1	0.285	1.000
23 vs. 23	21 vs. 22	-2.85644172538	0.0188896813551	0.528911077943	0.020	0.560
23 vs. 23	21 vs. 23	-11.6493054164	7.75682274924e-06	0.000217191036979	0.013	0.364
23 vs. 23	22 vs. 23	-2.34202861247	0.0357532041094	1	0.039	1.000
21 vs. 22	21 vs. 23	-0.96905831317	0.351642907244	1	0.389	1.000
21 vs. 22	22 vs. 23	0.0456547888499	0.964088098614	1	0.963	1.000
21 vs. 23	22 vs. 23	0.840728338236	0.412888502155	1	0.465	1.000
