#SampleID	starting_v_region	length	Description	Percentage
76.v2	v2	full.amplicon	76.v2	76
76.v2.v3	v2	full.amplicon	76.v2.v3	76
76.v2.v4	v2	full.amplicon	76.v2.v4	76
76.v2.v6	v2	full.amplicon	76.v2.v6	76
76.v2.v8	v2	full.amplicon	76.v2.v8	76
76.v2.v9	v2	full.amplicon	76.v2.v9	76
76.v3	v3	full.amplicon	76.v3	76
76.v3.v4	v3	full.amplicon	76.v3.v4	76
76.v3.v6	v3	full.amplicon	76.v3.v6	76
76.v3.v8	v3	full.amplicon	76.v3.v8	76
76.v3.v9	v3	full.amplicon	76.v3.v9	76
76.v4	v4	full.amplicon	76.v4	76
76.v4.v6	v4	full.amplicon	76.v4.v6	76
76.v4.v8	v4	full.amplicon	76.v4.v8	76
76.v4.v9	v4	full.amplicon	76.v4.v9	76
76.v6	v6	full.amplicon	76.v6	76
76.v6.v8	v6	full.amplicon	76.v6.v8	76
76.v6.v9	v6	full.amplicon	76.v6.v9	76
76.v9	v9	full.amplicon	76.v9	76
76.full.length	full.length	full.length	76.full.length	76
76.v2.150	v2	150	76.v2.150	76
76.v2.250	v2	250	76.v2.250	76
76.v2.v3.400	v2	400	76.v2.v3.400	76
76.v3.v4.150	v3	150	76.v3.v4.150	76
76.v3.v4.250	v3	250	76.v3.v4.250	76
76.v3.v4.400	v3	400	76.v3.v4.400	76
76.v4.150	v4	150	76.v4.150	76
76.v4.250	v4	250	76.v4.250	76
76.v4.v6.400	v4	400	76.v4.v6.400	76
76.v6.v8.150	v6	150	76.v6.v8.150	76
76.v6.v8.250	v6	250	76.v6.v8.250	76
76.v6.v8.400	v6	400	76.v6.v8.400	76
79.v2	v2	full.amplicon	79.v2	79
79.v2.v3	v2	full.amplicon	79.v2.v3	79
79.v2.v4	v2	full.amplicon	79.v2.v4	79
79.v2.v6	v2	full.amplicon	79.v2.v6	79
79.v2.v8	v2	full.amplicon	79.v2.v8	79
79.v2.v9	v2	full.amplicon	79.v2.v9	79
79.v3	v3	full.amplicon	79.v3	79
79.v3.v4	v3	full.amplicon	79.v3.v4	79
79.v3.v6	v3	full.amplicon	79.v3.v6	79
79.v3.v8	v3	full.amplicon	79.v3.v8	79
79.v3.v9	v3	full.amplicon	79.v3.v9	79
79.v4	v4	full.amplicon	79.v4	79
79.v4.v6	v4	full.amplicon	79.v4.v6	79
79.v4.v8	v4	full.amplicon	79.v4.v8	79
79.v4.v9	v4	full.amplicon	79.v4.v9	79
79.v6	v6	full.amplicon	79.v6	79
79.v6.v8	v6	full.amplicon	79.v6.v8	79
79.v6.v9	v6	full.amplicon	79.v6.v9	79
79.v9	v9	full.amplicon	79.v9	79
79.full.length	full.length	full.length	79.full.length	79
79.v2.150	v2	150	79.v2.150	79
79.v2.250	v2	250	79.v2.250	79
79.v2.v3.400	v2	400	79.v2.v3.400	79
79.v3.v4.150	v3	150	79.v3.v4.150	79
79.v3.v4.250	v3	250	79.v3.v4.250	79
79.v3.v4.400	v3	400	79.v3.v4.400	79
79.v4.150	v4	150	79.v4.150	79
79.v4.250	v4	250	79.v4.250	79
79.v4.v6.400	v4	400	79.v4.v6.400	79
79.v6.v8.150	v6	150	79.v6.v8.150	79
79.v6.v8.250	v6	250	79.v6.v8.250	79
79.v6.v8.400	v6	400	79.v6.v8.400	79
82.v2	v2	full.amplicon	82.v2	82
82.v2.v3	v2	full.amplicon	82.v2.v3	82
82.v2.v4	v2	full.amplicon	82.v2.v4	82
82.v2.v6	v2	full.amplicon	82.v2.v6	82
82.v2.v8	v2	full.amplicon	82.v2.v8	82
82.v2.v9	v2	full.amplicon	82.v2.v9	82
82.v3	v3	full.amplicon	82.v3	82
82.v3.v4	v3	full.amplicon	82.v3.v4	82
82.v3.v6	v3	full.amplicon	82.v3.v6	82
82.v3.v8	v3	full.amplicon	82.v3.v8	82
82.v3.v9	v3	full.amplicon	82.v3.v9	82
82.v4	v4	full.amplicon	82.v4	82
82.v4.v6	v4	full.amplicon	82.v4.v6	82
82.v4.v8	v4	full.amplicon	82.v4.v8	82
82.v4.v9	v4	full.amplicon	82.v4.v9	82
82.v6	v6	full.amplicon	82.v6	82
82.v6.v8	v6	full.amplicon	82.v6.v8	82
82.v6.v9	v6	full.amplicon	82.v6.v9	82
82.v9	v9	full.amplicon	82.v9	82
82.full.length	full.length	full.length	82.full.length	82
82.v2.150	v2	150	82.v2.150	82
82.v2.250	v2	250	82.v2.250	82
82.v2.v3.400	v2	400	82.v2.v3.400	82
82.v3.v4.150	v3	150	82.v3.v4.150	82
82.v3.v4.250	v3	250	82.v3.v4.250	82
82.v3.v4.400	v3	400	82.v3.v4.400	82
82.v4.150	v4	150	82.v4.150	82
82.v4.250	v4	250	82.v4.250	82
82.v4.v6.400	v4	400	82.v4.v6.400	82
82.v6.v8.150	v6	150	82.v6.v8.150	82
82.v6.v8.250	v6	250	82.v6.v8.250	82
82.v6.v8.400	v6	400	82.v6.v8.400	82
85.v2	v2	full.amplicon	85.v2	85
85.v2.v3	v2	full.amplicon	85.v2.v3	85
85.v2.v4	v2	full.amplicon	85.v2.v4	85
85.v2.v6	v2	full.amplicon	85.v2.v6	85
85.v2.v8	v2	full.amplicon	85.v2.v8	85
85.v2.v9	v2	full.amplicon	85.v2.v9	85
85.v3	v3	full.amplicon	85.v3	85
85.v3.v4	v3	full.amplicon	85.v3.v4	85
85.v3.v6	v3	full.amplicon	85.v3.v6	85
85.v3.v8	v3	full.amplicon	85.v3.v8	85
85.v3.v9	v3	full.amplicon	85.v3.v9	85
85.v4	v4	full.amplicon	85.v4	85
85.v4.v6	v4	full.amplicon	85.v4.v6	85
85.v4.v8	v4	full.amplicon	85.v4.v8	85
85.v4.v9	v4	full.amplicon	85.v4.v9	85
85.v6	v6	full.amplicon	85.v6	85
85.v6.v8	v6	full.amplicon	85.v6.v8	85
85.v6.v9	v6	full.amplicon	85.v6.v9	85
85.v9	v9	full.amplicon	85.v9	85
85.full.length	full.length	full.length	85.full.length	85
85.v2.150	v2	150	85.v2.150	85
85.v2.250	v2	250	85.v2.250	85
85.v2.v3.400	v2	400	85.v2.v3.400	85
85.v3.v4.150	v3	150	85.v3.v4.150	85
85.v3.v4.250	v3	250	85.v3.v4.250	85
85.v3.v4.400	v3	400	85.v3.v4.400	85
85.v4.150	v4	150	85.v4.150	85
85.v4.250	v4	250	85.v4.250	85
85.v4.v6.400	v4	400	85.v4.v6.400	85
85.v6.v8.150	v6	150	85.v6.v8.150	85
85.v6.v8.250	v6	250	85.v6.v8.250	85
85.v6.v8.400	v6	400	85.v6.v8.400	85
88.v2	v2	full.amplicon	88.v2	88
88.v2.v3	v2	full.amplicon	88.v2.v3	88
88.v2.v4	v2	full.amplicon	88.v2.v4	88
88.v2.v6	v2	full.amplicon	88.v2.v6	88
88.v2.v8	v2	full.amplicon	88.v2.v8	88
88.v2.v9	v2	full.amplicon	88.v2.v9	88
88.v3	v3	full.amplicon	88.v3	88
88.v3.v4	v3	full.amplicon	88.v3.v4	88
88.v3.v6	v3	full.amplicon	88.v3.v6	88
88.v3.v8	v3	full.amplicon	88.v3.v8	88
88.v3.v9	v3	full.amplicon	88.v3.v9	88
88.v4	v4	full.amplicon	88.v4	88
88.v4.v6	v4	full.amplicon	88.v4.v6	88
88.v4.v8	v4	full.amplicon	88.v4.v8	88
88.v4.v9	v4	full.amplicon	88.v4.v9	88
88.v6	v6	full.amplicon	88.v6	88
88.v6.v8	v6	full.amplicon	88.v6.v8	88
88.v6.v9	v6	full.amplicon	88.v6.v9	88
88.v9	v9	full.amplicon	88.v9	88
88.full.length	full.length	full.length	88.full.length	88
88.v2.150	v2	150	88.v2.150	88
88.v2.250	v2	250	88.v2.250	88
88.v2.v3.400	v2	400	88.v2.v3.400	88
88.v3.v4.150	v3	150	88.v3.v4.150	88
88.v3.v4.250	v3	250	88.v3.v4.250	88
88.v3.v4.400	v3	400	88.v3.v4.400	88
88.v4.150	v4	150	88.v4.150	88
88.v4.250	v4	250	88.v4.250	88
88.v4.v6.400	v4	400	88.v4.v6.400	88
88.v6.v8.150	v6	150	88.v6.v8.150	88
88.v6.v8.250	v6	250	88.v6.v8.250	88
88.v6.v8.400	v6	400	88.v6.v8.400	88
91.v2	v2	full.amplicon	91.v2	91
91.v2.v3	v2	full.amplicon	91.v2.v3	91
91.v2.v4	v2	full.amplicon	91.v2.v4	91
91.v2.v6	v2	full.amplicon	91.v2.v6	91
91.v2.v8	v2	full.amplicon	91.v2.v8	91
91.v2.v9	v2	full.amplicon	91.v2.v9	91
91.v3	v3	full.amplicon	91.v3	91
91.v3.v4	v3	full.amplicon	91.v3.v4	91
91.v3.v6	v3	full.amplicon	91.v3.v6	91
91.v3.v8	v3	full.amplicon	91.v3.v8	91
91.v3.v9	v3	full.amplicon	91.v3.v9	91
91.v4	v4	full.amplicon	91.v4	91
91.v4.v6	v4	full.amplicon	91.v4.v6	91
91.v4.v8	v4	full.amplicon	91.v4.v8	91
91.v4.v9	v4	full.amplicon	91.v4.v9	91
91.v6	v6	full.amplicon	91.v6	91
91.v6.v8	v6	full.amplicon	91.v6.v8	91
91.v6.v9	v6	full.amplicon	91.v6.v9	91
91.v9	v9	full.amplicon	91.v9	91
91.full.length	full.length	full.length	91.full.length	91
91.v2.150	v2	150	91.v2.150	91
91.v2.250	v2	250	91.v2.250	91
91.v2.v3.400	v2	400	91.v2.v3.400	91
91.v3.v4.150	v3	150	91.v3.v4.150	91
91.v3.v4.250	v3	250	91.v3.v4.250	91
91.v3.v4.400	v3	400	91.v3.v4.400	91
91.v4.150	v4	150	91.v4.150	91
91.v4.250	v4	250	91.v4.250	91
91.v4.v6.400	v4	400	91.v4.v6.400	91
91.v6.v8.150	v6	150	91.v6.v8.150	91
91.v6.v8.250	v6	250	91.v6.v8.250	91
91.v6.v8.400	v6	400	91.v6.v8.400	91
94.v2	v2	full.amplicon	94.v2	94
94.v2.v3	v2	full.amplicon	94.v2.v3	94
94.v2.v4	v2	full.amplicon	94.v2.v4	94
94.v2.v6	v2	full.amplicon	94.v2.v6	94
94.v2.v8	v2	full.amplicon	94.v2.v8	94
94.v2.v9	v2	full.amplicon	94.v2.v9	94
94.v3	v3	full.amplicon	94.v3	94
94.v3.v4	v3	full.amplicon	94.v3.v4	94
94.v3.v6	v3	full.amplicon	94.v3.v6	94
94.v3.v8	v3	full.amplicon	94.v3.v8	94
94.v3.v9	v3	full.amplicon	94.v3.v9	94
94.v4	v4	full.amplicon	94.v4	94
94.v4.v6	v4	full.amplicon	94.v4.v6	94
94.v4.v8	v4	full.amplicon	94.v4.v8	94
94.v4.v9	v4	full.amplicon	94.v4.v9	94
94.v6	v6	full.amplicon	94.v6	94
94.v6.v8	v6	full.amplicon	94.v6.v8	94
94.v6.v9	v6	full.amplicon	94.v6.v9	94
94.v9	v9	full.amplicon	94.v9	94
94.full.length	full.length	full.length	94.full.length	94
94.v2.150	v2	150	94.v2.150	94
94.v2.250	v2	250	94.v2.250	94
94.v2.v3.400	v2	400	94.v2.v3.400	94
94.v3.v4.150	v3	150	94.v3.v4.150	94
94.v3.v4.250	v3	250	94.v3.v4.250	94
94.v3.v4.400	v3	400	94.v3.v4.400	94
94.v4.150	v4	150	94.v4.150	94
94.v4.250	v4	250	94.v4.250	94
94.v4.v6.400	v4	400	94.v4.v6.400	94
94.v6.v8.150	v6	150	94.v6.v8.150	94
94.v6.v8.250	v6	250	94.v6.v8.250	94
94.v6.v8.400	v6	400	94.v6.v8.400	94
97.v2	v2	full.amplicon	97.v2	97
97.v2.v3	v2	full.amplicon	97.v2.v3	97
97.v2.v4	v2	full.amplicon	97.v2.v4	97
97.v2.v6	v2	full.amplicon	97.v2.v6	97
97.v2.v8	v2	full.amplicon	97.v2.v8	97
97.v2.v9	v2	full.amplicon	97.v2.v9	97
97.v3	v3	full.amplicon	97.v3	97
97.v3.v4	v3	full.amplicon	97.v3.v4	97
97.v3.v6	v3	full.amplicon	97.v3.v6	97
