	sequences per sample	iteration	PC.636	PC.635	PC.356	PC.481	PC.354	PC.593	PC.355	PC.607	PC.634
alpha_rarefaction_10_0.biom	10	0	8.0	10.0	6.0	7.0	8.0	7.0	7.0	10.0	7.0
alpha_rarefaction_10_1.biom	10	1	9.0	9.0	9.0	9.0	7.0	10.0	9.0	10.0	5.0
alpha_rarefaction_10_2.biom	10	2	7.0	10.0	9.0	10.0	6.0	9.0	8.0	9.0	9.0
alpha_rarefaction_10_3.biom	10	3	7.0	9.0	7.0	9.0	10.0	9.0	8.0	9.0	8.0
alpha_rarefaction_10_4.biom	10	4	8.0	10.0	9.0	9.0	10.0	8.0	8.0	8.0	9.0
alpha_rarefaction_10_5.biom	10	5	7.0	10.0	7.0	10.0	8.0	8.0	7.0	5.0	10.0
alpha_rarefaction_10_6.biom	10	6	8.0	10.0	10.0	10.0	10.0	6.0	8.0	9.0	9.0
alpha_rarefaction_10_7.biom	10	7	10.0	10.0	8.0	7.0	8.0	8.0	9.0	9.0	9.0
alpha_rarefaction_10_8.biom	10	8	7.0	9.0	9.0	9.0	9.0	6.0	9.0	9.0	9.0
alpha_rarefaction_10_9.biom	10	9	8.0	10.0	10.0	8.0	7.0	8.0	10.0	10.0	8.0
alpha_rarefaction_19_0.biom	19	0	16.0	17.0	16.0	16.0	13.0	13.0	13.0	16.0	15.0
alpha_rarefaction_19_1.biom	19	1	8.0	17.0	16.0	14.0	12.0	14.0	15.0	15.0	13.0
alpha_rarefaction_19_2.biom	19	2	10.0	17.0	16.0	15.0	14.0	14.0	14.0	13.0	15.0
alpha_rarefaction_19_3.biom	19	3	13.0	18.0	16.0	19.0	14.0	16.0	13.0	16.0	17.0
alpha_rarefaction_19_4.biom	19	4	10.0	17.0	17.0	17.0	15.0	11.0	16.0	15.0	16.0
alpha_rarefaction_19_5.biom	19	5	13.0	19.0	16.0	16.0	10.0	14.0	15.0	18.0	14.0
alpha_rarefaction_19_6.biom	19	6	15.0	17.0	18.0	17.0	13.0	14.0	17.0	14.0	18.0
alpha_rarefaction_19_7.biom	19	7	13.0	18.0	13.0	17.0	12.0	15.0	13.0	14.0	12.0
alpha_rarefaction_19_8.biom	19	8	15.0	17.0	19.0	15.0	12.0	15.0	14.0	15.0	15.0
alpha_rarefaction_19_9.biom	19	9	13.0	17.0	16.0	18.0	12.0	12.0	15.0	14.0	14.0
alpha_rarefaction_28_0.biom	28	0	16.0	25.0	22.0	21.0	16.0	16.0	19.0	21.0	19.0
alpha_rarefaction_28_1.biom	28	1	19.0	25.0	21.0	20.0	16.0	16.0	19.0	22.0	19.0
