OTU	prob	Bonferroni_corrected	FDR_corrected	Control_mean	Fast_mean
46	0.000321683241675	0.0270213923007	0.0270213923007	0.0	0.0275
378	0.00329601437509	0.276865207507	0.138432603754	0.0	0.0425
315	0.0112014325541	0.940920334544	0.313640111515	0.0	0.0075
74	0.0126544993655	1.0629779467	0.265744486676	0.002	0.0125
314	0.0158778038352	1.33373552216	0.266747104431	0.06	0.0
72	0.0207211240182	1.74057441753	0.290095736255	0.0	0.0125
56	0.0254635616832	2.13893918139	0.305562740199	0.006	0.03
414	0.0312021289463	2.62097883149	0.327622353937	0.0	0.0325
271	0.0675832938234	5.67699668116	0.630777409018	0.006	0.0
228	0.0675832938234	5.67699668116	0.567699668116	0.006	0.0
166	0.0760283942779	6.38638511935	0.580580465395	0.016	0.0
151	0.0884145618393	7.4268231945	0.618901932875	0.002	0.0175
298	0.0892242989648	7.49484111304	0.576526239465	0.0	0.005
265	0.0892242989648	7.49484111304	0.535345793789	0.0	0.005
73	0.0892242989648	7.49484111304	0.499656074203	0.0	0.005
188	0.0892242989648	7.49484111304	0.468427569565	0.0	0.005
169	0.0892242989648	7.49484111304	0.44087300665	0.02	0.0
278	0.0945078282208	7.93865757055	0.441036531697	0.0	0.0175
355	0.101325876369	8.51137361496	0.447967032366	0.008	0.0
273	0.105298036342	8.84503505271	0.442251752636	0.014	0.0025
93	0.112030397227	9.41055336707	0.448121588908	0.022	0.0
235	0.117645555961	9.88222670076	0.449192122762	0.0	0.0075
77	0.117645555961	9.88222670076	0.429662030468	0.0	0.0075
218	0.117645555961	9.88222670076	0.411759445865	0.0	0.0075
120	0.117645555961	9.88222670076	0.39528906803	0.0	0.0075
54	0.117999027022	9.91191826985	0.381227625763	0.002	0.0725
246	0.135571811975	11.3880322059	0.421778970588	0.0	0.0175
123	0.151399763195	12.7175801084	0.454199289584	0.01	0.0
201	0.151399763195	12.7175801084	0.438537245116	0.0	0.01
165	0.159103495762	13.364693644	0.445489788133	0.036	0.0
225	0.19300608787	16.2125113811	0.5229842381	0.004	0.0
42	0.19300608787	16.2125113811	0.50664098066	0.004	0.0
385	0.19300608787	16.2125113811	0.49128822367	0.004	0.0
116	0.19300608787	16.2125113811	0.476838570033	0.004	0.0
117	0.19300608787	16.2125113811	0.463214610889	0.004	0.0
130	0.19300608787	16.2125113811	0.450347538364	0.004	0.0
268	0.19300608787	16.2125113811	0.438175983273	0.004	0.0
129	0.19300608787	16.2125113811	0.426645036345	0.008	0.0
288	0.19300608787	16.2125113811	0.415705420028	0.004	0.0
191	0.19300608787	16.2125113811	0.405312784528	0.004	0.0
198	0.19300608787	16.2125113811	0.395427106856	0.004	0.0
59	0.193851143364	16.2834960426	0.387702286728	0.064	0.005
45	0.196262763543	16.4860721376	0.383397026457	0.04	0.0
202	0.205843333412	17.2908400066	0.392973636513	0.01	0.0
82	0.244039157318	20.4992892147	0.455539760327	0.002	0.045
203	0.253766091939	21.3163517229	0.463398950498	0.062	0.0
416	0.265556347002	22.3067331482	0.474611343578	0.008	0.0
99	0.265556347002	22.3067331482	0.464723607254	0.002	0.01
148	0.330666066122	27.7759495542	0.566856113352	0.016	0.0025
177	0.335249778593	28.1609814018	0.563219628036	0.016	0.0
350	0.343686081707	28.8696308634	0.566071193399	0.014	0.0025
392	0.349388756631	29.348655557	0.564397222251	0.042	0.005
306	0.380138874663	31.9316654717	0.602484254184	0.002	0.0125
53	0.387793615341	32.5746636886	0.603234512752	0.008	0.0025
397	0.43184287228	36.2748012715	0.6595418413	0.018	0.005
342	0.455745359636	38.2826102094	0.683618039454	0.002	0.0075
362	0.455745359636	38.2826102094	0.671624740516	0.002	0.0075
214	0.455745359636	38.2826102094	0.66004500361	0.002	0.0075
181	0.496247448687	41.6847856897	0.706521791351	0.014	0.0025
347	0.509717239614	42.8162481276	0.71360413546	0.004	0.0075
304	0.563027803699	47.2943355107	0.775316975585	0.002	0.005
217	0.563027803699	47.2943355107	0.762811863075	0.002	0.005
400	0.654492959886	54.9774086305	0.872657279848	0.012	0.0175
379	0.741691780319	62.3021095468	0.973470461669	0.036	0.05
410	0.774595202254	65.0659969893	1.0010153383	0.008	0.005
182	0.774595202254	65.0659969893	0.985848439232	0.004	0.0025
370	0.787240414498	66.1281948178	0.986987982356	0.012	0.015
406	0.797971695235	67.0296223997	0.985729741172	0.006	0.005
232	0.858815886724	72.1405344848	1.04551499253	0.028	0.035
393	0.878616767758	73.8038084917	1.05434012131	0.002	0.0025
41	0.878616767758	73.8038084917	1.03949026045	0.002	0.0025
32	0.878616767758	73.8038084917	1.02505289572	0.002	0.0025
387	0.878616767758	73.8038084917	1.01101107523	0.002	0.0025
383	0.878616767758	73.8038084917	0.997348763401	0.002	0.0025
14	0.878616767758	73.8038084917	0.984050779889	0.002	0.0025
136	0.878616767758	73.8038084917	0.971102743312	0.002	0.0025
223	0.878616767758	73.8038084917	0.958491019373	0.002	0.0025
219	0.878616767758	73.8038084917	0.946202672971	0.002	0.0025
284	0.878616767758	73.8038084917	0.934225423946	0.002	0.0025
8	0.878616767758	73.8038084917	0.922547606146	0.002	0.0025
343	0.878616767758	73.8038084917	0.911158129527	0.004	0.005
270	0.878616767758	73.8038084917	0.900046445021	0.002	0.0025
126	0.878616767758	73.8038084917	0.889202511948	0.002	0.0025
90	1	84	1.0	0.01	0.01
