candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
0 PC.636_266	249		142023	97.60	249
1 PC.635_771	232		178564	89.20	232
10 PC.481_1197	225		177590	93.80	225
100 PC.481_49	231		228860	99.10	231
101 PC.607_151	247		191536	96.00	247
102 PC.636_851	216		190061	87.50	216
103 PC.636_853	247		98087	84.60	247
104 PC.593_1010	225		150575	93.30	225
105 PC.355_1287	235		83226	92.80	235
106 PC.481_340	238		133091	94.10	238
107 PC.355_303	238		172220	93.30	238
108 PC.634_174	250		190559	100.00	250
109 PC.634_170	237		163874	89.50	237
11 PC.481_1218	253		182830	92.90	253
110 PC.354_905	231		179432	94.80	231
111 PC.607_996	214		130699	95.30	214
112 PC.354_570	220		186104	90.50	220
113 PC.593_646	241		196985	86.70	241
114 PC.354_472	238		185822	94.10	238
115 PC.636_353	222		1872	93.20	222
116 PC.481_1116	218		179432	93.60	218
117 PC.481_1115	225		133228	99.60	225
118 PC.481_1110	234		135884	91.90	234
119 PC.356_1223	214		133406	96.30	214
12 PC.355_363	209		182323	90.90	209
120 PC.635_782	248		2045	94.80	248
121 PC.355_548	237		1929	97.00	237
122 PC.355_547	220		49406	90.90	220
123 PC.355_546	237		131066	97.50	237
124 PC.636_272	238		94718	93.30	238
125 PC.354_602	227		109546	91.60	227
126 PC.635_1038	214		174278	90.70	214
127 PC.607_633	212		192067	92.90	212
128 PC.354_695	235		132451	94.90	235
129 PC.354_699	225		199567	96.90	225
13 PC.354_1175	237		14001	95.80	237
130 PC.593_1333	236		192175	93.60	236
131 PC.593_1330	244		115098	92.60	244
132 PC.593_416	222		131143	91.00	222
133 PC.354_1163	231		199119	90.50	231
134 PC.635_660	230		179241	90.90	230
135 PC.354_464	240		68844	93.30	240
136 PC.354_988	225		229371	99.60	225
137 PC.634_215	241		195634	100.00	241
138 PC.634_214	231		98087	87.00	231
139 PC.354_1095	231		132691	96.50	231
14 PC.635_572	214		133406	93.90	214
140 PC.607_276	231		130699	94.80	231
141 PC.481_1062	241		181180	88.80	241
142 PC.635_800	237		182920	92.00	237
143 PC.607_503	223		115098	96.00	223
144 PC.356_1013	222		14023	94.10	222
145 PC.635_369	206		192067	94.70	206
146 PC.635_322	231		183173	91.80	231
147 PC.607_50	236		36271	89.40	236
148 PC.355_122	243		68844	95.90	243
149 PC.636_1036	245		146034	93.10	245
15 PC.607_543	214		50448	93.90	214
150 PC.635_935	222		14001	93.70	222
151 PC.634_58	230		179241	92.20	230
152 PC.356_1152	220		199567	93.20	220
153 PC.593_1139	225		229371	97.30	225
154 PC.636_959	247		1929	91.50	247
155 PC.634_52	245		195634	94.70	245
156 PC.481_1076	235		131066	96.60	235
157 PC.634_57	238		183480	93.70	238
158 PC.635_431	244		184985	91.00	244
159 PC.607_1193	243		162576	99.20	243
16 PC.635_576	237		199413	94.90	237
160 PC.607_1190	220		197139	94.10	220
161 PC.355_759	238		172220	95.40	238
162 PC.355_975	210		179116	95.70	210
163 PC.636_827	248		196985	98.00	248
164 PC.636_419	241		163328	86.30	241
165 PC.355_13	211		174092	100.00	211
166 PC.354_732	242		181180	90.50	242
167 PC.635_799	231		180191	93.90	231
168 PC.593_1283	207		110016	92.30	207
169 PC.356_919	237		68844	94.90	237
17 PC.634_202	225		177876	82.20	225
170 PC.593_600	246		38834	93.90	246
171 PC.607_931	235		197157	94.00	235
172 PC.635_119	250		166297	91.20	250
173 PC.636_606	237		155577	82.30	237
174 PC.593_1309	235		164968	93.20	235
175 PC.634_133	237		167256	93.70	237
176 PC.634_134	222		177876	84.70	222
177 PC.593_452	235		162021	91.50	235
178 PC.634_139	209		207770	87.10	209
179 PC.607_1217	220		174278	90.00	220
18 PC.634_204	239		191612	87.00	239
180 PC.481_879	217		199379	92.20	217
181 PC.593_364	241		18983	90.90	241
182 PC.593_84	216		45363	99.50	216
183 PC.481_875	224		181349	80.40	224
184 PC.481_4	219		43051	95.40	219
185 PC.607_332	231		132451	95.20	231
186 PC.635_1043	231		182920	91.30	231
187 PC.355_1222	225		199567	97.30	225
188 PC.635_753	231		133406	98.30	231
189 PC.593_757	225		178437	94.70	225
19 PC.356_1135	245		175114	94.70	245
190 PC.635_617	249		187802	88.40	249
191 PC.593_242	232		135462	98.30	232
192 PC.356_866	225		199567	95.60	225
193 PC.356_1117	241		14001	85.10	241
194 PC.356_138	211		16023	94.80	211
195 PC.356_682	224		132587	94.60	224
196 PC.356_433	231		180288	98.70	231
197 PC.356_437	222		14023	96.80	222
198 PC.355_401	237		195985	92.00	237
199 PC.607_81	214		130034	99.50	214
2 PC.636_265	248		132011	85.90	248
20 PC.634_201	238		175142	80.70	238
200 PC.607_80	235		183202	87.70	235
201 PC.635_972	248		70461	94.00	248
202 PC.481_117	235		166297	100.00	235
203 PC.354_63	235		68844	95.30	235
204 PC.607_1093	209		192067	96.20	209
205 PC.635_476	255		179958	87.80	255
206 PC.356_349	246		181349	85.40	246
207 PC.636_586	212		51677	94.30	212
208 PC.636_585	222		186812	90.50	222
209 PC.356_343	237		131066	99.20	237
21 PC.481_778	212		131250	96.70	212
210 PC.481_592	225		183173	95.10	225
211 PC.634_62	244		162684	99.20	244
212 PC.481_613	238		179241	95.40	238
213 PC.634_68	236		163874	92.40	236
214 PC.607_1068	231		109018	82.30	231
215 PC.636_908	246		132011	85.80	246
216 PC.356_816	234		228860	94.90	234
217 PC.593_1009	238		14035	100.00	238
218 PC.607_1147	236		36271	87.30	236
219 PC.356_831	254		184969	88.60	254
22 PC.607_532	237		228860	92.80	237
